DT-oktavuohta	N
DT-vuogádat	N
DU-doarjja	N
DVD-filbma	N
DVD-hápmi	N
Dagblad-aviisa	N
Dagblad-journalista	N
Dagblad-áviisa	N
Dagbladet-aviisa	N
Dagbladet-áviisa	N
Dagen-aviisa	N
Dagen-áviisa	N
Dahl-joavku	N
Davidsen-rohkki	N
Davvi-Norgga% gávppašeapmi	N
Davvin-konferánsa	N
Davvin-konfereansa	N
Deanu% akšuvdna	N
Deanu% nuorra	N
Deatnogátte% gánda	N
Deatnogátte% nuorra	N
Dieđut-ráidu	N
Dimitri-joavku	N
Divvun-gaskaoapmi	N
Divvun-gaskoapmi	N
Divvun-gask'oapmi	N
Divvun-projeakta	N
Divvun-prošeakta	N
Divvun-veahkkeneavvu	N
Divvun-veršuvdna	N
DjO-bargu	N
DjO-biras	N
DjO-doaibma	N
DjO-doarjja	N
DjO-foanda	N
DjO-fálaldat	N
DjO-jođiheaddji	N
DjO-lágádus	N
DjO-rahčamuš	N
DjO-ruhta	N
DjO-searvan	N
DjO-stivra	N
DjO-áŋgiruššan	N
DnB-guovddáš	N
Doffin-bása	N
Downs% syndroma	N
Driv-studeantaviessu	N
Driv-stuđeantaviessu	N
Dunderland-lihkohisvuohta	N
Dunderland-lihkuhisvuohta	N
Dunfjell-rohkki	N
Dálvadis-jávri	N
E-guđeš	N
E1%0-bensiidna	N
E6-bálggis	N
E6-geaidnu	N
E6-luodda	N
EALÁT-projeakta	N
EALÁT-prošeakta	N
EDB-geavaheapmi	N
EDB-konsuleanta	N
EDL-jođiheaddji	N
EEO-njuolggadus	N
EEO-riika	N
EEO-ássi	N
EEO-šiehtadus	N
EFTA-duopmostuollu	N
EI-klássa	N
EKG-latnja	N
EM-bronsa	N
EM-gilvu	N
EM-golli	N
EM-joavku	N
EM-measttir	N
EM-meašttir	N
EM-meaštár	N
EM-skohtergilvu	N
EM-skuhtergilvu	N
EM-skutergilvu	N
EM-vuorru	N
EM-čiekčamat	N
ENØK-doaibma	N
EO-miellahttu	N
EO-njuolggadus	N
EO-prográmma	N
EO-riika	N
EO-ássi	N
EP-skearru	N
EP-skierru	N
ESA-duopmostuollu	N
ESA-váiddaášši	N
ETS-rádio	N
ETS-ráđđi	N
EU-direktiiva	N
EU-doarjja	N
EU-doarju	N
EU-dokumeanta	N
EU-duháhat	N
EU-duopmostuollu	N
EU-dárkkisteapmi	N
EU-dárkkistus	N
EU-dárkkástus	N
EU-gažaldat	N
EU-guovlu	N
EU-heiveheapmi	N
EU-hoavda	N
EU-iskkus	N
EU-kommišuvdna	N
EU-lahttu	N
EU-lahttuvuohta	N
EU-logohápmi	N
EU-mearrádus	N
EU-miellahttu	N
EU-miellahttuvuohta	N
EU-njuolggadus	N
EU-oktavuohta	N
EU-parlameanta	N
EU-politihkka	N
EU-prográmma	N
EU-projeakta	N
EU-projeaktadoarjja	N
EU-prošeakta	N
EU-prošeaktadoarjja	N
EU-raporta	N
EU-riika	N
EU-ruhta	N
EU-ruhtadeapmi	N
EU-ruhtanjuolggadus	N
EU-ráhkadus	N
EU-seminára	N
EU-steampal	N
EU-steampil	N
EU-vuogádat	N
EU-vuođđoláhka	N
EU-álbmot	N
EU-ássi	N
EU-ášši	N
EU-čoahkkin	N
EU-šiehtadus	N
Ealát-projeakta	N
Ealát-prošeakta	N
Edvard-bálkkašupmi	N
Eidsvoll-visti	N
Einar-rohkki	N
Einejord-rohkki	N
Eira-rohkki	N
Eira-vieljažagat	N
Eira-vieljažat	N
Elgå-projeakta	N
Elgå-prošeakta	N
Eliissá-rohkki	N
Elle-Ovllá-rohkki	N
Elle-oarbmebealle	N
Elle-oarpmealle	N
Elle-oarpmebealli	N
Elle-oarpmebealle	N
Elle-oarpmembealle	N
Elle-oarpmembealli	N
Elle-oarpmenbealle	N
Elle-oarpmenbealli	N
Elle-riehpu	N
Elle-áhkku	N
Embargo-filbmaráidu	N
Enøk-guovddáš	N
Eriksen-bearaš	N
Erke-rohkki	N
Erkke-rohkki	N
Erkkebeaivi	N
Erkkevahkku	N
Esau-viellja	N
Eskilvahkku	N
Esso-kámera	N
Esso-rámbuvra	N
Esso-rámbuvri	N
Eugen-medállja	N
Eugen-rohkki	N
Eurohpá-measttirgilvu	N
Eurohpá-meašttirgilvu	N
Eurohpá-meaštárgilvu	N
EØS-guovlu	N
EØS-riika	N
EØS-ruhta	N
EØS-ášši	N
EØS-šiehtadus	N
FBI-ageanta	N
FD-ráidu	N
FIMA-ráidu	N
FIS-duopmár	N
FJ-jođiheaddji	N
FM-fierpmádat	N
FM-gilvu	N
FM-rádio	N
FM-sátta	N
FMX-násti	N
FMX-show	N
FMX-sihkkel	N
FMX-syhkkel	N
FMX-sykkel	N
FMX-vuoddji	N
FMX-šovva	N
FN-raporta	N
FO-njuolggadus	N
FO-ortnet	N
FO-stivra	N
FOU-projeakta	N
FOU-prošeakta	N
Facebook-joavku	N
Facebook-siidu	N
Farmen-ráidu	N
Farmen-vuoiti	N
Faust-bihttá	N
FeFo-stivra	N
Fiettar-siida	N
Finnmarken-aviisa	N
Finnmarken-áviisa	N
Finnmarksløpet-gilvu	N
Finnmárkku% dálvi	N
Finnmárkku% guovlu	N
Finnmárkku% joavku	N
Finnmárkku% málle	N
Finnmárkoláhka-bargu	N
Finnmárkoláhka-deaksta	N
Finnmárkoláhka-evttohus	N
Finnmárkoláhka-gieđahallan	N
Finnmárkoláhka-konferánsa	N
Finnmárkoláhka-konfereansa	N
Finnmárkoláhka-lávdegoddi	N
Finnmárkoláhka-seminára	N
Finnmárkoláhka-teaksta	N
Finnmárkoláhka-árvalus	N
Flash-teknologiija	N
Flintoe-akvarealla	N
Flokkmann-riehpu	N
FoU-bargu	N
FoU-doaibma	N
FoU-várri	N
Fokstad-rohkki	N
Franco-áigi	N
Frette-rohkki	N
Fálesnuori% sápmelaš	N
Førster-joavku	N
GIS-bargoneavvu	N
GIS-systema	N
GLR-bingo	N
GLR-biŋgo	N
GPS-bálggis	N
GPS-gálvu	N
GPS-kursa	N
GPS-gursa	N
GPS-gurse	N
GPS-luonddubálggis	N
GPS-revolušuvdna	N
GPS-rusttet	N
GPS-sáddenrusttet	N
GPS-teknologiija	N
GPS-čeabetbáddi	N
GSM-dieđiheaddji	N
GSM-fierpmádat	N
GSM-geavaheaddji	N
GSM-mearkun	N
GSM-oktavuohta	N
GSM-telefovdna	N
Games-gilvu	N
Gaskaijarock-doalut	N
Gaup-bearaš	N
Gaup-rohkki	N
Gdg-giella	N
Geneve-konvenšuvdna	N
Gihttel-almmái	N
Gihttel-olmmái	N
Gilde-Márjjávahkku	N
Gitni% spealli	N
Goahteluoppal-guovlu	N
Gobi-Heaika-rohkki	N
Golf-rávdnji	N
Goliat-fealta	N
Goliat-guovlu	N
Goliat-huksen	N
Goliat-oljuguovlu	N
Gollegiella-bálkkašupmi	N
Gorravárri-kultuvra	N
Grammy-bálkkašupmi	N
Grand% Prix% -finála	N
Grand% Prix% -lávlla	N
Grand% Prix% -lávlu	N
Grand% Prix% -muitu	N
Grand% Prix% -vuoiti	N
Guhkesnjárgga% márkanat	N
Guoládaga% sápmi	N
Guoládat-sápmi	N
Guorpak-gárdi	N
Guovdageainnu% gahpir	N
Guovdageainnu% lunta	N
Guovdageainnu% stuibmi	N
Guovdageainnu% stuimmit	N
Guovdageainnu% sápmelaš	N
Guovssahas-eamiálbmotjoavku	N
Guttorm-rohkki	N
Guttormsen-rohkki	N
Gába-bláđđi	N
Gába-láđđi	N
Gába-nissonbláđđi	N
Gába-nissonláđđi	N
Gárasavvon-guovlu	N
Gárasavvon-suopman	N
Gáren-muoŧŧá	N
Gïeje-bihttá	N
H1N1-virus	N
HIV-dávda	N
HMS-bargu	N
HMS-bálvalus	N
HMS-joavku	N
HPV-boahkuheapmi	N
HPV-virus	N
HV-guovlu	N
HVP-boahkku	N
Haiti-doarjjakonsearta	N
Haiti-roassu	N
Hamar-bisma	N
Hamar-bismá	N
Hamar-bispa	N
Hamsun-beaivi	N
Hangface-joavku	N
Hanna-mielki	N
Hansen-rohkki	N
Hanssen-rohkki	N
Hardanger-linjá	N
Hardanger-linnjá	N
Harry% Potter% -filbma	N
Harry% Potter% -girji	N
Harstad-gávpot	N
Hauge-rohkki	N
Heahttá-Bállás-johtolat	N
Heaikkavahkku	N
Hedda-bálkkašupmi	N
Hedningarna-joavku	N
Hegge-bearaš	N
Hegge-rohkki	N
Hei% Lola% -vuoiti	N
Hellemo-projeakta	N
Hellemo-prošeakta	N
Hemmo-eanu	N
Hemmo-rohkki	N
Hemmo-áddjá	N
Hemmo-čeahci	N
Henrik-rohkki	N
Henriksen-rohkki	N
Hercules-girdi	N
Hermansen-rohkki	N
Hernes-lávdegoddi	N
Holberg-bálkkašupmi	N
Holm-bearaš	N
Honnesváhki-revy	N
Honnesváhki-revya	N
Huui-báidi	N
Huui-nieida	N
Hálkaváre% ášši	N
Hánsa-rohkki	N
Hárstták-gávpot	N
Hå-riehpu	N
Hætta-joavku	N
Hætta-rohkki	N
Hætta-siida	N
Hætta-sohka	N
Høgden-rohkki	N
IA-bargu	N
IA-doaibma	N
IA-fitnodat	N
IB-linjá	N
IB-linnjá	N
IB-oahppu	N
ID-nummar	N
ID-nummir	N
ID-nummár	N
II-joavku	N
II-oassi	N
II-prográmma	N
III-joavku	N
III-prográmma	N
IKT-bargi	N
IKT-bargoneavvu	N
IKT-doaibma	N
IKT-fierbmi	N
IKT-fuolahusfága	N
IKT-geavaheapmi	N
IKT-gelbbolašvuohta	N
IKT-oahppaneavvu	N
IKT-oahpponeavvu	N
IKT-oktavuohta	N
IKT-ovddasvástideaddji	N
IKT-ovdánahttingelbbolašvuođaguovddáš	N
IKT-ovdáneapmi	N
IKT-politihkka	N
IKT-rahčamuš	N
IKT-ráđđeaddi	N
IKT-strategiija	N
IKT-suorgi	N
IKT-áŋgiruššanplána	N
IKT-čoavddus	N
ILA-njoammun	N
ILA-virus	N
ILO-bargojoavku	N
ILO-gažaldat	N
ILO-raporta	N
ILO-soahpamuš	N
ILO-traktáhta	N
ILO-vuogádat	N
ILO-álgoálbmotsoahpamuš	N
ILO-šiehtadus	N
IO-plána	N
IP-guovlu	N
IP-čujuhus	N
ISAF-strategiija	N
ISDN-linjá	N
ISDN-linnjá	N
IT-almmuheapmi	N
IT-bargi	N
IT-bargoneavvu	N
IT-bálvalus	N
IT-doaibma	N
IT-doaibmaplána	N
IT-fierbmi	N
IT-fierpmádat	N
IT-fuolahusfága	N
IT-gažaldat	N
IT-geavaheaddji	N
IT-geavaheapmi	N
IT-geavahus	N
IT-gelbbolašvuohta	N
IT-guovddáš	N
IT-infrastruktuvra	N
IT-kafea	N
IT-kaféa	N
IT-konferánsa	N
IT-konfereansa	N
IT-konsuleanta	N
IT-konto	N
IT-máhttu	N
IT-oahppaneavvu	N
IT-oktavuohta	N
IT-ossodat	N
IT-ovddasvástideaddji	N
IT-ovdánahttingelbbolašvuođaguovddáš	N
IT-ovdáneapmi	N
IT-plána	N
IT-politihkka	N
IT-prográmma	N
IT-rahčamuš	N
IT-ráđđeaddi	N
IT-seminára	N
IT-strategiija	N
IT-suorgi	N
IT-vuogádat	N
IT-áŋgiruššanplána	N
IT-čoavddus	N
ITK-koordináhtor	N
Ibsen-rohkki	N
Ica-buvda	N
Ida-joavku	N
Idol-audition	N
Idol-gilvu	N
Idol-oasseváldi	N
Idol-oassálasti	N
Ilo-soahpamuš	N
Ims-raporta	N
Indiville-beaivi	N
Inga-oabbá	N
Ingrid-namma	N
International-gilvu	N
Interreg-bargu	N
Interreg-doarjja	N
Interreg-oasseprográmma	N
